variant,kind,value,count,share
raw_turn_full,query_type,4,841,0.42346424974823765
raw_turn_full,query_type,5,446,0.22457200402819738
raw_turn_full,query_type,2,321,0.16163141993957703
raw_turn_full,query_type,1,282,0.1419939577039275
raw_turn_full,query_type,3,96,0.04833836858006042
raw_turn_full,memory_type,raw_turn,5882,1.0
raw_turn_full,agent,John,1017,0.17290037402244135
raw_turn_full,agent,Tim,344,0.058483509010540634
raw_turn_full,agent,James,343,0.058313498809928595
raw_turn_full,agent,Deborah,341,0.057973478408704524
raw_turn_full,agent,Jolene,340,0.057803468208092484
raw_turn_full,agent,Audrey,338,0.05746344780686841
raw_turn_full,agent,Andrew,337,0.057293437606256374
raw_turn_full,agent,Maria,328,0.05576334580074804
raw_turn_full,agent,Nate,316,0.0537232233934036
raw_turn_full,agent,Joanna,313,0.05321319279156749
raw_turn_full,agent,Calvin,285,0.048452907174430467
raw_turn_full,agent,Dave,283,0.048112886773206395
raw_turn_full,agent,Evan,256,0.0435226113566814
raw_turn_full,agent,Sam,253,0.04301258075484529
raw_turn_full,agent,Caroline,211,0.03587215232913975
raw_turn_full,agent,Melanie,208,0.03536212172730364
raw_turn_full,agent,Jon,185,0.031451887113226794
raw_turn_full,agent,Gina,184,0.031281876912614755
raw_turn_full,group_memory,7,689,0.1171370282216933
raw_turn_full,group_memory,8,681,0.11577694661679701
raw_turn_full,group_memory,5,680,0.11560693641618497
raw_turn_full,group_memory,6,675,0.11475688541312479
raw_turn_full,group_memory,3,663,0.11271676300578035
raw_turn_full,group_memory,4,629,0.1069364161849711
raw_turn_full,group_memory,10,568,0.09656579394763685
raw_turn_full,group_memory,9,509,0.08653519211152669
raw_turn_full,group_memory,1,419,0.07123427405644339
raw_turn_full,group_memory,2,369,0.06273376402584155
raw_turn_full,group_query,4,260,0.1309164149043303
raw_turn_full,group_query,5,242,0.12185297079556898
raw_turn_full,group_query,8,239,0.1203423967774421
raw_turn_full,group_query,10,204,0.1027190332326284
raw_turn_full,group_query,1,199,0.10020140986908359
raw_turn_full,group_query,9,196,0.0986908358509567
raw_turn_full,group_query,3,193,0.09718026183282981
raw_turn_full,group_query,7,190,0.09566968781470292
raw_turn_full,group_query,6,158,0.07955689828801611
raw_turn_full,group_query,2,105,0.052870090634441085
raw_turn_full,gold_count,1,1563,0.7870090634441088
raw_turn_full,gold_count,2,241,0.12134944612286001
raw_turn_full,gold_count,3,81,0.04078549848942598
raw_turn_full,gold_count,4,58,0.02920443101711984
raw_turn_full,gold_count,5,20,0.010070493454179255
raw_turn_full,gold_count,6,8,0.004028197381671702
raw_turn_full,gold_count,7,5,0.0025176233635448137
raw_turn_full,gold_count,9,2,0.0010070493454179255
raw_turn_full,gold_count,8,2,0.0010070493454179255
raw_turn_full,gold_count,10,2,0.0010070493454179255
raw_turn_full,gold_count,11,2,0.0010070493454179255
raw_turn_full,gold_count,19,1,0.0005035246727089627
raw_turn_full,gold_count,17,1,0.0005035246727089627
llm_extracted_fact_answerable,query_type,4,752,0.4091403699673558
llm_extracted_fact_answerable,query_type,5,412,0.22415669205658323
llm_extracted_fact_answerable,query_type,2,310,0.16866158868335146
llm_extracted_fact_answerable,query_type,1,278,0.1512513601741023
