group,label,count,share_of_errors,share_of_queries
reason,memory_type_mismatch,365,0.39978094194961666,0.1985854189336235
reason,gold_below_top20,236,0.25848849945235486,0.12840043525571274
reason,other,78,0.08543263964950712,0.042437431991294884
reason,semantic_neighbor,63,0.06900328587075576,0.03427638737758433
reason,temporal_neighbor,57,0.0624315443592552,0.031011969532100107
reason,persona_confusion,35,0.038335158817086525,0.019042437431991296
reason,activity_neighbor,33,0.03614457831325301,0.017954298150163223
reason,preference_neighbor,16,0.017524644030668127,0.008705114254624592
reason,relationship_neighbor,15,0.01642935377875137,0.008161044613710556
reason,career_education_neighbor,12,0.013143483023001095,0.006528835690968444
reason,identity_neighbor,3,0.0032858707557502738,0.001632208922742111
intent,other,442,0.484118291347207,0.24047878128400435
intent,temporal,153,0.16757940854326397,0.08324265505984767
intent,activity,97,0.10624315443592552,0.05277475516866159
intent,causal_emotion,57,0.0624315443592552,0.031011969532100107
intent,preference,50,0.054764512595837894,0.02720348204570185
intent,location,47,0.05147864184008762,0.025571273122959738
intent,relationship,37,0.040525739320920046,0.02013057671381937
intent,career_education,25,0.027382256297918947,0.013601741022850925
intent,identity,5,0.00547645125958379,0.002720348204570185
query_type,4,333,0.3647316538882804,0.18117519042437433
query_type,5,234,0.25629791894852133,0.12731229597388466
query_type,1,174,0.19058050383351588,0.09466811751904244
query_type,2,114,0.1248630887185104,0.062023939064200215
query_type,3,58,0.06352683461117196,0.031556039173014146
top_memory_type,event,234,0.25629791894852133,0.12731229597388466
top_memory_type,plan,117,0.12814895947426067,0.06365614798694233
top_memory_type,hobby,108,0.11829134720700986,0.058759521218716
top_memory_type,preference,107,0.1171960569550931,0.05821545157780196
top_memory_type,family,70,0.07667031763417305,0.03808487486398259
top_memory_type,goal,60,0.06571741511500548,0.03264417845484222
top_memory_type,work,52,0.056955093099671415,0.028291621327529923
top_memory_type,relationship,50,0.054764512595837894,0.02720348204570185
top_memory_type,emotion,37,0.040525739320920046,0.02013057671381937
top_memory_type,health,23,0.025191675794085433,0.012513601741022852
top_memory_type,identity,18,0.019715224534501644,0.009793253536452665
top_memory_type,other,16,0.017524644030668127,0.008705114254624592
top_memory_type,education,11,0.012048192771084338,0.005984766050054407
top_memory_type,skill,5,0.00547645125958379,0.002720348204570185
top_memory_type,belief,2,0.002190580503833516,0.001088139281828074
top_memory_type,activity,2,0.002190580503833516,0.001088139281828074
top_memory_type,project,1,0.001095290251916758,0.000544069640914037
gold_memory_types,event,185,0.20262869660460023,0.10065288356909684
gold_memory_types,preference,99,0.10843373493975904,0.05386289445048966
gold_memory_types,hobby,85,0.09309967141292443,0.046245919477693145
gold_memory_types,plan,51,0.05585980284775466,0.027747551686615888
gold_memory_types,family,41,0.044906900328587074,0.022306855277475515
gold_memory_types,goal,25,0.027382256297918947,0.013601741022850925
gold_memory_types,event|hobby,25,0.027382256297918947,0.013601741022850925
gold_memory_types,work,24,0.02628696604600219,0.013057671381936888
gold_memory_types,emotion,19,0.0208105147864184,0.010337323177366704
gold_memory_types,relationship,18,0.019715224534501644,0.009793253536452665
gold_memory_types,event|family,15,0.01642935377875137,0.008161044613710556
gold_memory_types,hobby|preference,14,0.01533406352683461,0.007616974972796518
gold_memory_types,event|work,14,0.01533406352683461,0.007616974972796518
gold_memory_types,event|plan,13,0.014238773274917854,0.007072905331882481
gold_memory_types,other,13,0.014238773274917854,0.007072905331882481
gold_memory_types,event|preference,11,0.012048192771084338,0.005984766050054407
gold_memory_types,health,8,0.008762322015334063,0.004352557127312296
gold_memory_types,goal|work,7,0.007667031763417305,0.003808487486398259
gold_memory_types,emotion|event,7,0.007667031763417305,0.003808487486398259
gold_memory_types,event|goal,7,0.007667031763417305,0.003808487486398259
gold_memory_types,goal|plan,7,0.007667031763417305,0.003808487486398259
gold_memory_types,event|hobby|relationship,7,0.007667031763417305,0.003808487486398259
gold_memory_types,event|family|identity,6,0.0065717415115005475,0.003264417845484222
gold_memory_types,event|identity,6,0.0065717415115005475,0.003264417845484222
gold_memory_types,event|relationship,6,0.0065717415115005475,0.003264417845484222
gold_memory_types,goal|plan|work,6,0.0065717415115005475,0.003264417845484222
gold_memory_types,goal|hobby,5,0.00547645125958379,0.002720348204570185
gold_memory_types,education,5,0.00547645125958379,0.002720348204570185
gold_memory_types,event|hobby|preference,5,0.00547645125958379,0.002720348204570185
gold_memory_types,education|goal,5,0.00547645125958379,0.002720348204570185
gold_memory_types,hobby|plan,4,0.004381161007667032,0.002176278563656148
gold_memory_types,emotion|hobby,4,0.004381161007667032,0.002176278563656148
gold_memory_types,emotion|work,4,0.004381161007667032,0.002176278563656148
gold_memory_types,family|preference,3,0.0032858707557502738,0.001632208922742111
gold_memory_types,event|other,3,0.0032858707557502738,0.001632208922742111
gold_memory_types,emotion|event|hobby,3,0.0032858707557502738,0.001632208922742111
gold_memory_types,hobby|relationship,3,0.0032858707557502738,0.001632208922742111
